ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
137594,IDLE,0,0,896,688,166,37,190,16.473,19.207,6.012,0.896,0.688,0.166,0.037,0
137874,PRE_COND,100,0,893,688,167,37,195,16.991,20.002,6.227,0.893,0.688,0.167,0.037,0
138123,PRE_COND,100,0,896,689,166,37,190,16.473,19.207,6.012,0.896,0.689,0.166,0.037,0
138470,PRE_COND,100,0,892,688,166,37,195,16.991,20.002,6.227,0.892,0.688,0.166,0.037,0
138720,PRE_COND,100,0,896,689,166,38,195,16.991,20.002,6.227,0.896,0.689,0.166,0.038,0
138970,PRE_COND,100,0,896,689,166,37,190,16.473,19.207,6.012,0.896,0.689,0.166,0.037,0
139220,PRE_COND,100,0,892,688,166,38,190,16.473,19.207,6.012,0.892,0.688,0.166,0.038,0
139470,PRE_COND,100,0,896,689,166,37,190,16.473,19.207,6.012,0.896,0.689,0.166,0.037,0
139720,PRE_COND,100,0,892,689,166,37,195,16.991,20.002,6.227,0.892,0.689,0.166,0.037,0
139970,PRE_COND,100,0,893,689,167,38,205,18.038,21.628,6.663,0.893,0.689,0.167,0.038,0
140412,PRE_COND,100,0,896,689,167,37,200,17.513,20.809,6.444,0.896,0.689,0.167,0.037,0
140662,PRE_COND,100,0,892,688,167,37,185,15.958,18.426,5.799,0.892,0.688,0.167,0.037,0
140912,PRE_COND,100,0,896,689,167,37,190,16.473,19.207,6.012,0.896,0.689,0.167,0.037,0
141343,PRE_COND,100,0,896,689,167,38,200,17.513,20.809,6.444,0.896,0.689,0.167,0.038,0
141593,PRE_COND,100,0,892,688,167,38,190,16.473,19.207,6.012,0.892,0.688,0.167,0.038,0
142093,PRE_COND,100,0,896,689,167,37,190,16.473,19.207,6.012,0.896,0.689,0.167,0.037,0
142343,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
142663,PRE_COND,100,0,896,689,168,38,195,16.991,20.002,6.227,0.896,0.689,0.168,0.038,0
142913,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
143163,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
143413,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
143663,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
143913,PRE_COND,100,0,896,690,168,38,190,16.473,19.207,6.012,0.896,0.69,0.168,0.038,0
141843,PRE_COND,100,0,896,689,168,38,190,16.473,19.207,6.012,0.896,0.689,0.168,0.038,0
144163,PRE_COND,100,0,896,690,168,38,190,16.473,19.207,6.012,0.896,0.69,0.168,0.038,0
144557,PRE_COND,100,0,896,689,169,38,195,16.991,20.002,6.227,0.896,0.689,0.169,0.038,0
144807,PRE_COND,100,0,896,689,169,38,190,16.473,19.207,6.012,0.896,0.689,0.169,0.038,0
145057,PRE_COND,100,0,896,689,169,38,185,15.958,18.426,5.799,0.896,0.689,0.169,0.038,0
145307,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
145557,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
145869,PRE_COND,100,0,896,690,168,37,195,16.991,20.002,6.227,0.896,0.69,0.168,0.037,0
146118,PRE_COND,100,0,896,690,168,37,190,16.473,19.207,6.012,0.896,0.69,0.168,0.037,0
146368,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
146618,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
146868,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
147118,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
147368,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
147618,PRE_COND,100,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
147868,RAMP_UP,0,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
148118,RAMP_UP,0,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
148368,RAMP_UP,0,0,896,691,169,38,190,16.473,19.207,6.012,0.896,0.691,0.169,0.038,0
148618,RAMP_UP,0,0,896,691,169,38,190,16.473,19.207,6.012,0.896,0.691,0.169,0.038,0
148868,RAMP_UP,0,0,896,691,169,38,190,16.473,19.207,6.012,0.896,0.691,0.169,0.038,0
149118,RAMP_UP,0,0,896,691,169,38,190,16.473,19.207,6.012,0.896,0.691,0.169,0.038,0
149368,RAMP_UP,0,0,896,690,169,38,190,16.473,19.207,6.012,0.896,0.69,0.169,0.038,0
149651,RAMP_UP,0,0,896,691,170,38,195,16.991,20.002,6.227,0.896,0.691,0.17,0.038,0
149901,HOLD,51,0,896,690,170,38,190,16.473,19.207,6.012,0.896,0.69,0.17,0.038,0
150151,HOLD,51,0,896,692,170,38,195,16.991,20.002,6.227,0.896,0.692,0.17,0.038,0
150401,HOLD,51,0,896,691,169,37,190,16.473,19.207,6.012,0.896,0.691,0.169,0.037,0
150651,HOLD,51,0,896,691,169,38,190,16.473,19.207,6.012,0.896,0.691,0.169,0.038,0
