ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
899206,IDLE,0,0,816,758,183,38,200,17.513,20.809,6.444,0.816,0.758,0.183,0.038,5
899456,PRE_COND,100,0,817,759,183,38,200,17.513,20.809,6.444,0.817,0.759,0.183,0.038,0
899706,PRE_COND,100,0,817,759,183,38,200,17.513,20.809,6.444,0.817,0.759,0.183,0.038,0
899956,PRE_COND,100,0,817,759,183,38,200,17.513,20.809,6.444,0.817,0.759,0.183,0.038,0
900206,PRE_COND,100,0,817,759,183,38,200,17.513,20.809,6.444,0.817,0.759,0.183,0.038,0
900456,PRE_COND,100,0,816,759,183,38,200,17.513,20.809,6.444,0.816,0.759,0.183,0.038,0
900706,PRE_COND,100,0,817,759,183,37,200,17.513,20.809,6.444,0.817,0.759,0.183,0.037,0
900956,PRE_COND,100,0,818,759,183,37,205,18.038,21.628,6.663,0.818,0.759,0.183,0.037,0
901206,PRE_COND,100,0,818,759,183,37,200,17.513,20.809,6.444,0.818,0.759,0.183,0.037,0
901456,PRE_COND,100,0,818,759,184,38,200,17.513,20.809,6.444,0.818,0.759,0.184,0.038,0
901706,PRE_COND,100,0,819,759,183,38,205,18.038,21.628,6.663,0.819,0.759,0.183,0.038,0
901956,PRE_COND,100,0,819,759,184,38,205,18.038,21.628,6.663,0.819,0.759,0.184,0.038,0
902206,PRE_COND,100,0,819,759,184,38,200,17.513,20.809,6.444,0.819,0.759,0.184,0.038,0
902456,PRE_COND,100,0,820,759,184,38,205,18.038,21.628,6.663,0.82,0.759,0.184,0.038,0
902706,PRE_COND,100,0,820,759,184,38,205,18.038,21.628,6.663,0.82,0.759,0.184,0.038,0
902956,PRE_COND,100,0,820,759,184,38,205,18.038,21.628,6.663,0.82,0.759,0.184,0.038,0
903429,PRE_COND,100,0,821,759,184,38,210,18.567,22.461,6.885,0.821,0.759,0.184,0.038,0
903679,PRE_COND,100,0,821,759,184,38,205,18.038,21.628,6.663,0.821,0.759,0.184,0.038,0
903929,PRE_COND,100,0,821,759,184,38,205,18.038,21.628,6.663,0.821,0.759,0.184,0.038,0
904179,PRE_COND,100,0,822,759,184,38,205,18.038,21.628,6.663,0.822,0.759,0.184,0.038,0
904429,RAMP_UP,0,0,822,759,184,38,200,17.513,20.809,6.444,0.822,0.759,0.184,0.038,0
904679,RAMP_UP,0,0,823,759,184,38,200,17.513,20.809,6.444,0.823,0.759,0.184,0.038,0
904929,RAMP_UP,0,0,822,759,184,38,200,17.513,20.809,6.444,0.822,0.759,0.184,0.038,0
905179,RAMP_UP,0,0,823,759,184,38,200,17.513,20.809,6.444,0.823,0.759,0.184,0.038,0
905429,RAMP_UP,0,0,823,759,184,38,205,18.038,21.628,6.663,0.823,0.759,0.184,0.038,0
905679,RAMP_UP,0,0,823,759,184,38,200,17.513,20.809,6.444,0.823,0.759,0.184,0.038,0
905929,RAMP_UP,0,0,822,759,183,37,205,18.038,21.628,6.663,0.822,0.759,0.183,0.037,0
906179,RAMP_UP,0,0,823,759,183,37,200,17.513,20.809,6.444,0.823,0.759,0.183,0.037,0
906429,HOLD,51,0,823,759,183,37,200,17.513,20.809,6.444,0.823,0.759,0.183,0.037,0
906679,HOLD,51,0,825,759,183,37,200,17.513,20.809,6.444,0.825,0.759,0.183,0.037,0
906929,HOLD,51,0,823,760,184,38,200,17.513,20.809,6.444,0.823,0.76,0.184,0.038,0
907179,HOLD,51,0,823,760,183,38,200,17.513,20.809,6.444,0.823,0.76,0.183,0.038,0
907429,HOLD,51,0,824,760,183,37,200,17.513,20.809,6.444,0.824,0.76,0.183,0.037,0
907679,HOLD,51,0,823,760,183,37,200,17.513,20.809,6.444,0.823,0.76,0.183,0.037,0
907929,HOLD,51,0,824,760,183,38,200,17.513,20.809,6.444,0.824,0.76,0.183,0.038,0
908179,HOLD,51,0,825,761,183,37,200,17.513,20.809,6.444,0.825,0.761,0.183,0.037,0
908429,HOLD,51,0,824,761,183,38,200,17.513,20.809,6.444,0.824,0.761,0.183,0.038,0
908679,HOLD,51,0,825,761,183,38,200,17.513,20.809,6.444,0.825,0.761,0.183,0.038,0
908929,HOLD,51,0,823,761,183,38,200,17.513,20.809,6.444,0.823,0.761,0.183,0.038,0
909179,HOLD,51,0,825,761,183,38,200,17.513,20.809,6.444,0.825,0.761,0.183,0.038,0
909429,HOLD,51,0,824,761,183,38,200,17.513,20.809,6.444,0.824,0.761,0.183,0.038,0
909679,HOLD,51,0,825,760,182,37,200,17.513,20.809,6.444,0.825,0.76,0.182,0.037,0
909929,HOLD,51,0,824,761,183,37,205,18.038,21.628,6.663,0.824,0.761,0.183,0.037,0
910179,HOLD,51,0,824,761,183,38,205,18.038,21.628,6.663,0.824,0.761,0.183,0.038,0
910429,HOLD,51,0,824,761,183,37,200,17.513,20.809,6.444,0.824,0.761,0.183,0.037,0
910679,HOLD,51,0,825,761,183,38,200,17.513,20.809,6.444,0.825,0.761,0.183,0.038,0
910929,HOLD,51,0,825,761,182,37,200,17.513,20.809,6.444,0.825,0.761,0.182,0.037,0
911179,HOLD,51,0,825,761,182,38,200,17.513,20.809,6.444,0.825,0.761,0.182,0.038,0
911429,HOLD,51,0,825,761,182,38,200,17.513,20.809,6.444,0.825,0.761,0.182,0.038,0
911679,HOLD,51,0,825,761,182,37,195,16.991,20.002,6.227,0.825,0.761,0.182,0.037,0
911929,HOLD,51,0,825,761,182,37,200,17.513,20.809,6.444,0.825,0.761,0.182,0.037,0
912179,HOLD,51,0,825,761,182,37,200,17.513,20.809,6.444,0.825,0.761,0.182,0.037,0
912429,HOLD,51,0,825,762,182,37,200,17.513,20.809,6.444,0.825,0.762,0.182,0.037,0
912679,HOLD,51,0,825,761,182,38,200,17.513,20.809,6.444,0.825,0.761,0.182,0.038,0
912929,HOLD,51,0,826,762,182,38,200,17.513,20.809,6.444,0.826,0.762,0.182,0.038,0
913179,HOLD,51,0,825,761,182,37,200,17.513,20.809,6.444,0.825,0.761,0.182,0.037,0
913429,HOLD,51,0,825,761,182,37,200,17.513,20.809,6.444,0.825,0.761,0.182,0.037,0
913679,HOLD,51,0,826,761,182,37,200,17.513,20.809,6.444,0.826,0.761,0.182,0.037,0
913929,HOLD,51,0,825,761,181,37,200,17.513,20.809,6.444,0.825,0.761,0.181,0.037,0
914179,HOLD,51,0,826,761,182,37,200,17.513,20.809,6.444,0.826,0.761,0.182,0.037,0
914429,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
914679,HOLD,51,0,826,761,182,38,200,17.513,20.809,6.444,0.826,0.761,0.182,0.038,0
914929,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
915179,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
915429,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
915679,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
915929,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
916179,HOLD,51,0,825,761,181,38,200,17.513,20.809,6.444,0.825,0.761,0.181,0.038,0
916429,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
916679,HOLD,51,0,826,761,180,37,200,17.513,20.809,6.444,0.826,0.761,0.18,0.037,0
916929,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
917179,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
917429,HOLD,51,0,826,762,181,37,200,17.513,20.809,6.444,0.826,0.762,0.181,0.037,0
917679,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
917929,HOLD,51,0,826,762,181,37,200,17.513,20.809,6.444,0.826,0.762,0.181,0.037,0
918179,HOLD,51,0,826,762,181,38,200,17.513,20.809,6.444,0.826,0.762,0.181,0.038,0
918429,HOLD,51,0,826,761,181,37,200,17.513,20.809,6.444,0.826,0.761,0.181,0.037,0
918679,HOLD,51,0,826,762,180,37,200,17.513,20.809,6.444,0.826,0.762,0.18,0.037,0
918929,HOLD,51,0,826,761,181,38,200,17.513,20.809,6.444,0.826,0.761,0.181,0.038,0
919179,HOLD,51,0,826,762,181,37,200,17.513,20.809,6.444,0.826,0.762,0.181,0.037,0
919429,HOLD,51,0,826,762,180,38,200,17.513,20.809,6.444,0.826,0.762,0.18,0.038,0
919679,HOLD,51,0,826,762,181,38,200,17.513,20.809,6.444,0.826,0.762,0.181,0.038,0
919929,HOLD,51,0,826,762,180,37,200,17.513,20.809,6.444,0.826,0.762,0.18,0.037,0
920179,HOLD,51,0,826,762,180,37,205,18.038,21.628,6.663,0.826,0.762,0.18,0.037,0
