ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
129998,HOLD,51,0,773,821,221,56,293,28.048,38.522,10.989,0.773,0.821,0.221,0.056,0
130248,HOLD,51,0,773,822,221,56,293,28.048,38.522,10.989,0.773,0.822,0.221,0.056,0
130498,HOLD,51,0,773,822,220,57,293,28.048,38.522,10.989,0.773,0.822,0.22,0.057,0
131059,HOLD,51,0,773,822,221,56,293,28.048,38.522,10.989,0.773,0.822,0.221,0.056,0
131323,HOLD,51,0,773,822,220,56,293,28.048,38.522,10.989,0.773,0.822,0.22,0.056,0
131573,HOLD,51,0,772,821,220,57,293,28.048,38.522,10.989,0.772,0.821,0.22,0.057,0
131909,HOLD,51,0,772,822,220,56,293,28.048,38.522,10.989,0.772,0.822,0.22,0.056,0
132409,HOLD,51,0,773,821,220,57,293,28.048,38.522,10.989,0.773,0.821,0.22,0.057,0
132925,HOLD,51,0,773,822,220,56,303,29.222,40.645,11.512,0.773,0.822,0.22,0.056,0
130809,HOLD,51,0,772,822,220,57,293,28.048,38.522,10.989,0.772,0.822,0.22,0.057,0
133175,HOLD,51,0,773,822,220,56,293,28.048,38.522,10.989,0.773,0.822,0.22,0.056,0
133425,HOLD,51,0,773,821,221,56,293,28.048,38.522,10.989,0.773,0.821,0.221,0.056,0
133738,HOLD,51,0,773,822,221,57,293,28.048,38.522,10.989,0.773,0.822,0.221,0.057,0
133987,HOLD,51,0,772,823,221,56,293,28.048,38.522,10.989,0.772,0.823,0.221,0.056,0
134237,HOLD,51,0,774,823,221,56,293,28.048,38.522,10.989,0.774,0.823,0.221,0.056,0
134487,HOLD,51,0,774,823,220,57,288,27.465,37.479,10.73,0.774,0.823,0.22,0.057,0
132159,HOLD,51,0,774,823,220,56,293,28.048,38.522,10.989,0.774,0.823,0.22,0.056,0
134737,HOLD,51,0,773,822,220,57,288,27.465,37.479,10.73,0.773,0.822,0.22,0.057,0
134987,HOLD,51,0,773,822,221,57,288,27.465,37.479,10.73,0.773,0.822,0.221,0.057,0
135237,HOLD,51,0,773,822,220,57,293,28.048,38.522,10.989,0.773,0.822,0.22,0.057,0
135519,HOLD,51,0,773,821,220,57,293,28.048,38.522,10.989,0.773,0.821,0.22,0.057,0
135769,HOLD,51,0,772,822,220,56,293,28.048,38.522,10.989,0.772,0.822,0.22,0.056,0
136019,HOLD,51,0,773,821,220,56,293,28.048,38.522,10.989,0.773,0.821,0.22,0.056,0
136269,HOLD,51,0,773,821,220,56,293,28.048,38.522,10.989,0.773,0.821,0.22,0.056,0
136519,HOLD,51,0,773,821,220,56,293,28.048,38.522,10.989,0.773,0.821,0.22,0.056,0
136769,HOLD,51,0,773,821,220,57,293,28.048,38.522,10.989,0.773,0.821,0.22,0.057,0
137019,HOLD,51,0,773,821,220,57,288,27.465,37.479,10.73,0.773,0.821,0.22,0.057,0
137269,HOLD,51,0,773,822,220,56,293,28.048,38.522,10.989,0.773,0.822,0.22,0.056,0
137519,HOLD,51,0,774,822,221,57,288,27.465,37.479,10.73,0.774,0.822,0.221,0.057,0
137769,HOLD,51,0,774,823,220,56,293,28.048,38.522,10.989,0.774,0.823,0.22,0.056,0
138019,HOLD,51,0,773,821,220,57,288,27.465,37.479,10.73,0.773,0.821,0.22,0.057,0
138269,HOLD,51,0,773,822,220,57,293,28.048,38.522,10.989,0.773,0.822,0.22,0.057,0
138519,HOLD,51,0,773,821,220,56,293,28.048,38.522,10.989,0.773,0.821,0.22,0.056,0
138769,HOLD,51,0,773,822,220,57,288,27.465,37.479,10.73,0.773,0.822,0.22,0.057,0
139545,HOLD,51,0,774,823,220,57,307,29.814,41.725,11.776,0.774,0.823,0.22,0.057,0
139795,HOLD,51,0,773,820,220,57,293,28.048,38.522,10.989,0.773,0.82,0.22,0.057,0
141217,HOLD,51,0,774,822,219,56,317,31.006,43.921,12.312,0.774,0.822,0.219,0.056,0
142168,HOLD,51,0,773,822,218,56,312,30.409,42.817,12.043,0.773,0.822,0.218,0.056,0
142418,HOLD,51,0,774,821,218,56,303,29.222,40.645,11.512,0.774,0.821,0.218,0.056,0
143703,HOLD,51,0,775,822,218,56,337,33.427,48.458,13.407,0.775,0.822,0.218,0.056,0
144142,HOLD,51,0,774,822,218,56,298,28.633,39.577,11.249,0.774,0.822,0.218,0.056,0
144680,HOLD,51,0,773,822,218,56,303,29.222,40.645,11.512,0.773,0.822,0.218,0.056,0
144930,HOLD,51,0,773,822,217,55,288,27.465,37.479,10.73,0.773,0.822,0.217,0.055,0
145180,HOLD,51,0,774,822,218,56,293,28.048,38.522,10.989,0.774,0.822,0.218,0.056,0
145430,HOLD,51,0,774,823,218,56,288,27.465,37.479,10.73,0.774,0.823,0.218,0.056,0
145680,HOLD,51,0,773,822,218,56,293,28.048,38.522,10.989,0.773,0.822,0.218,0.056,0
145930,HOLD,51,0,775,822,218,56,293,28.048,38.522,10.989,0.775,0.822,0.218,0.056,0
146180,HOLD,51,0,775,823,218,56,293,28.048,38.522,10.989,0.775,0.823,0.218,0.056,0
146430,HOLD,51,0,774,822,217,56,293,28.048,38.522,10.989,0.774,0.822,0.217,0.056,0
146680,HOLD,51,0,774,821,217,56,293,28.048,38.522,10.989,0.774,0.821,0.217,0.056,0
146936,HOLD,51,0,774,822,218,56,293,28.048,38.522,10.989,0.774,0.822,0.218,0.056,0
147185,HOLD,51,0,773,822,217,56,293,28.048,38.522,10.989,0.773,0.822,0.217,0.056,0
147435,HOLD,51,0,774,821,218,56,293,28.048,38.522,10.989,0.774,0.821,0.218,0.056,0
148283,HOLD,51,0,774,822,217,56,307,29.814,41.725,11.776,0.774,0.822,0.217,0.056,0
148533,HOLD,51,0,773,821,217,56,293,28.048,38.522,10.989,0.773,0.821,0.217,0.056,0
148822,HOLD,51,0,774,822,217,56,293,28.048,38.522,10.989,0.774,0.822,0.217,0.056,0
149071,HOLD,51,0,774,821,216,56,293,28.048,38.522,10.989,0.774,0.821,0.216,0.056,0
149321,HOLD,51,0,774,822,217,56,293,28.048,38.522,10.989,0.774,0.822,0.217,0.056,0
149571,HOLD,51,0,774,822,217,55,293,28.048,38.522,10.989,0.774,0.822,0.217,0.055,0
150735,HOLD,51,0,773,821,216,56,312,30.409,42.817,12.043,0.773,0.821,0.216,0.056,0
150985,HOLD,51,0,773,822,215,55,293,28.048,38.522,10.989,0.773,0.822,0.215,0.055,0
151237,HOLD,51,0,774,821,215,56,288,27.465,37.479,10.73,0.774,0.821,0.215,0.056,0
151932,HOLD,51,0,775,821,215,55,303,29.222,40.645,11.512,0.775,0.821,0.215,0.055,0
152275,HOLD,51,0,774,821,216,56,293,28.048,38.522,10.989,0.774,0.821,0.216,0.056,0
152524,HOLD,51,0,773,820,215,55,278,26.309,35.429,10.22,0.773,0.82,0.215,0.055,0
153161,HOLD,51,0,773,822,215,55,303,29.222,40.645,11.512,0.773,0.822,0.215,0.055,0
153496,HOLD,51,0,773,822,215,56,293,28.048,38.522,10.989,0.773,0.822,0.215,0.056,0
153745,HOLD,51,0,774,821,215,55,293,28.048,38.522,10.989,0.774,0.821,0.215,0.055,0
153995,HOLD,51,0,774,821,214,56,293,28.048,38.522,10.989,0.774,0.821,0.214,0.056,0
154245,HOLD,51,0,774,821,214,55,293,28.048,38.522,10.989,0.774,0.821,0.214,0.055,0
154495,HOLD,51,0,773,821,215,55,293,28.048,38.522,10.989,0.773,0.821,0.215,0.055,0
154745,HOLD,51,0,774,822,214,55,278,26.309,35.429,10.22,0.774,0.822,0.214,0.055,0
154995,HOLD,51,0,773,821,214,55,288,27.465,37.479,10.73,0.773,0.821,0.214,0.055,0
155245,HOLD,51,0,773,822,214,55,293,28.048,38.522,10.989,0.773,0.822,0.214,0.055,0
155495,HOLD,51,0,773,821,213,55,293,28.048,38.522,10.989,0.773,0.821,0.213,0.055,0
155745,HOLD,51,0,774,821,213,55,293,28.048,38.522,10.989,0.774,0.821,0.213,0.055,0
156142,HOLD,51,0,773,821,213,55,298,28.633,39.577,11.249,0.773,0.821,0.213,0.055,0
156392,HOLD,51,0,773,821,213,55,293,28.048,38.522,10.989,0.773,0.821,0.213,0.055,0
156642,HOLD,51,0,774,821,213,55,288,27.465,37.479,10.73,0.774,0.821,0.213,0.055,0
156892,HOLD,51,0,773,821,213,55,293,28.048,38.522,10.989,0.773,0.821,0.213,0.055,0
157142,HOLD,51,0,774,821,213,55,293,28.048,38.522,10.989,0.774,0.821,0.213,0.055,0
