ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
61689,PRE_COND,100,0,845,658,148,39,141,11.488,11.989,3.996,0.845,0.658,0.148,0.039,0
61939,PRE_COND,100,0,844,658,147,39,136,11.01,11.341,3.808,0.844,0.658,0.147,0.039,0
62189,PRE_COND,100,0,844,658,148,39,136,11.01,11.341,3.808,0.844,0.658,0.148,0.039,0
62518,PRE_COND,100,0,845,658,149,40,141,11.488,11.989,3.996,0.845,0.658,0.149,0.04,0
62768,PRE_COND,100,0,845,658,148,39,136,11.01,11.341,3.808,0.845,0.658,0.148,0.039,0
63018,PRE_COND,100,0,845,658,149,40,127,10.067,10.088,3.44,0.845,0.658,0.149,0.04,0
63268,PRE_COND,100,0,845,658,149,39,136,11.01,11.341,3.808,0.845,0.658,0.149,0.039,0
63518,PRE_COND,100,0,844,658,149,39,136,11.01,11.341,3.808,0.844,0.658,0.149,0.039,0
63768,PRE_COND,100,0,845,658,149,40,136,11.01,11.341,3.808,0.845,0.658,0.149,0.04,0
64018,PRE_COND,100,0,846,659,149,39,141,11.488,11.989,3.996,0.846,0.659,0.149,0.039,0
64268,PRE_COND,100,0,845,658,148,39,136,11.01,11.341,3.808,0.845,0.658,0.148,0.039,0
64547,PRE_COND,100,0,844,658,148,40,141,11.488,11.989,3.996,0.844,0.658,0.148,0.04,0
64883,PRE_COND,100,0,845,658,148,39,166,13.934,15.432,4.973,0.845,0.658,0.148,0.039,0
65132,PRE_COND,100,0,846,658,149,39,141,11.488,11.989,3.996,0.846,0.658,0.149,0.039,0
65382,PRE_COND,100,0,845,660,149,39,141,11.488,11.989,3.996,0.845,0.66,0.149,0.039,0
65632,PRE_COND,100,0,845,659,149,40,141,11.488,11.989,3.996,0.845,0.659,0.149,0.04,0
65920,PRE_COND,100,0,848,660,149,39,141,11.488,11.989,3.996,0.848,0.66,0.149,0.039,0
66170,PRE_COND,100,0,845,658,148,40,141,11.488,11.989,3.996,0.845,0.658,0.148,0.04,0
66420,PRE_COND,100,0,848,659,149,40,141,11.488,11.989,3.996,0.848,0.659,0.149,0.04,0
66670,PRE_COND,100,0,848,660,149,39,141,11.488,11.989,3.996,0.848,0.66,0.149,0.039,0
66920,PRE_COND,100,0,846,659,149,40,141,11.488,11.989,3.996,0.846,0.659,0.149,0.04,0
67170,PRE_COND,100,0,847,659,149,40,141,11.488,11.989,3.996,0.847,0.659,0.149,0.04,0
67431,PRE_COND,100,0,848,660,150,40,141,11.488,11.989,3.996,0.848,0.66,0.15,0.04,0
67681,PRE_COND,100,0,848,660,149,40,141,11.488,11.989,3.996,0.848,0.66,0.149,0.04,0
67931,PRE_COND,100,0,848,659,149,40,141,11.488,11.989,3.996,0.848,0.659,0.149,0.04,0
68181,PRE_COND,100,0,849,659,150,40,141,11.488,11.989,3.996,0.849,0.659,0.15,0.04,0
68431,PRE_COND,100,0,849,660,150,40,141,11.488,11.989,3.996,0.849,0.66,0.15,0.04,0
68681,PRE_COND,100,0,849,660,150,40,141,11.488,11.989,3.996,0.849,0.66,0.15,0.04,0
68931,PRE_COND,100,0,849,660,150,40,146,11.969,12.65,4.186,0.849,0.66,0.15,0.04,0
69181,PRE_COND,100,0,850,661,150,40,146,11.969,12.65,4.186,0.85,0.661,0.15,0.04,0
69431,PRE_COND,100,0,850,660,150,39,146,11.969,12.65,4.186,0.85,0.66,0.15,0.039,0
69681,PRE_COND,100,0,849,660,151,40,151,12.455,13.325,4.379,0.849,0.66,0.151,0.04,0
70009,PRE_COND,100,0,850,661,151,40,146,11.969,12.65,4.186,0.85,0.661,0.151,0.04,0
70259,PRE_COND,100,0,852,660,151,39,141,11.488,11.989,3.996,0.852,0.66,0.151,0.039,0
70594,PRE_COND,100,0,852,661,151,40,151,12.455,13.325,4.379,0.852,0.661,0.151,0.04,0
70844,PRE_COND,100,0,850,661,151,40,146,11.969,12.65,4.186,0.85,0.661,0.151,0.04,0
71094,PRE_COND,100,0,852,660,151,40,146,11.969,12.65,4.186,0.852,0.66,0.151,0.04,0
71344,PRE_COND,100,0,849,660,151,40,146,11.969,12.65,4.186,0.849,0.66,0.151,0.04,0
71691,RAMP_UP,0,0,851,662,152,40,151,12.455,13.325,4.379,0.851,0.662,0.152,0.04,0
71941,RAMP_UP,0,0,852,661,151,40,146,11.969,12.65,4.186,0.852,0.661,0.151,0.04,0
72191,RAMP_UP,0,0,850,661,152,40,146,11.969,12.65,4.186,0.85,0.661,0.152,0.04,0
72441,RAMP_UP,0,0,852,662,152,40,146,11.969,12.65,4.186,0.852,0.662,0.152,0.04,0
72691,RAMP_UP,0,0,851,661,152,40,146,11.969,12.65,4.186,0.851,0.661,0.152,0.04,0
72941,RAMP_UP,0,0,850,661,152,40,151,12.455,13.325,4.379,0.85,0.661,0.152,0.04,0
73191,RAMP_UP,0,0,850,661,152,40,151,12.455,13.325,4.379,0.85,0.661,0.152,0.04,0
73441,RAMP_UP,0,0,852,661,153,40,151,12.455,13.325,4.379,0.852,0.661,0.153,0.04,0
73691,HOLD,51,0,850,661,152,40,151,12.455,13.325,4.379,0.85,0.661,0.152,0.04,0
73941,HOLD,51,0,851,661,152,40,151,12.455,13.325,4.379,0.851,0.661,0.152,0.04,0
74191,HOLD,51,0,852,662,153,40,151,12.455,13.325,4.379,0.852,0.662,0.153,0.04,0
74441,HOLD,51,0,852,662,153,40,151,12.455,13.325,4.379,0.852,0.662,0.153,0.04,0
