ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
1036147,IDLE,0,0,917,768,343,43,190,16.473,19.207,6.012,0.917,0.768,0.343,0.043,0
1036406,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1036655,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1036905,PRE_COND,100,0,918,763,342,44,180,15.447,17.658,5.589,0.918,0.763,0.342,0.044,0
1037155,PRE_COND,100,0,919,768,343,42,180,15.447,17.658,5.589,0.919,0.768,0.343,0.042,0
1037405,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1037655,PRE_COND,100,0,918,768,342,43,180,15.447,17.658,5.589,0.918,0.768,0.342,0.043,0
1037905,PRE_COND,100,0,918,768,343,43,185,15.958,18.426,5.799,0.918,0.768,0.343,0.043,0
1038155,PRE_COND,100,0,918,768,344,43,180,15.447,17.658,5.589,0.918,0.768,0.344,0.043,0
1038405,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1038655,PRE_COND,100,0,919,768,343,43,180,15.447,17.658,5.589,0.919,0.768,0.343,0.043,0
1038905,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1039281,PRE_COND,100,0,919,768,343,43,185,15.958,18.426,5.799,0.919,0.768,0.343,0.043,0
1039531,PRE_COND,100,0,919,768,344,43,195,16.991,20.002,6.227,0.919,0.768,0.344,0.043,0
1039781,PRE_COND,100,0,918,768,343,43,180,15.447,17.658,5.589,0.918,0.768,0.343,0.043,0
1040031,PRE_COND,100,0,918,768,343,43,185,15.958,18.426,5.799,0.918,0.768,0.343,0.043,0
