ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
5842697,DONE,0,0,777,670,237,58,439,46.906,75.468,19.682,0.777,0.67,0.237,0.058,5
5842947,PRE_COND,100,0,777,670,237,59,439,46.906,75.468,19.682,0.777,0.67,0.237,0.059,0
5843197,PRE_COND,100,0,777,669,237,59,439,46.906,75.468,19.682,0.777,0.669,0.237,0.059,0
5843447,PRE_COND,100,0,777,669,237,59,439,46.906,75.468,19.682,0.777,0.669,0.237,0.059,0
5843697,PRE_COND,100,0,777,670,237,59,439,46.906,75.468,19.682,0.777,0.67,0.237,0.059,0
5843947,PRE_COND,100,0,778,669,237,59,439,46.906,75.468,19.682,0.778,0.669,0.237,0.059,0
5844197,PRE_COND,100,0,777,669,238,59,439,46.906,75.468,19.682,0.777,0.669,0.238,0.059,0
5844447,PRE_COND,100,0,778,670,241,59,439,46.906,75.468,19.682,0.778,0.67,0.241,0.059,0
5844697,PRE_COND,100,0,778,670,244,60,449,48.257,78.322,20.325,0.778,0.67,0.244,0.06,0
5844947,PRE_COND,100,0,778,670,246,60,454,48.936,79.767,20.65,0.778,0.67,0.246,0.06,0
5845197,PRE_COND,100,0,779,670,248,61,459,49.619,81.225,20.976,0.779,0.67,0.248,0.061,0
5845447,PRE_COND,100,0,779,670,250,61,469,50.992,84.178,21.636,0.779,0.67,0.25,0.061,0
5845697,PRE_COND,100,0,780,670,251,62,469,50.992,84.178,21.636,0.78,0.67,0.251,0.062,0
5845947,PRE_COND,100,0,781,670,252,63,474,51.683,85.672,21.968,0.781,0.67,0.252,0.063,0
5846197,PRE_COND,100,0,781,670,253,62,474,51.683,85.672,21.968,0.781,0.67,0.253,0.062,0
5846447,PRE_COND,100,0,781,671,254,62,474,51.683,85.672,21.968,0.781,0.671,0.254,0.062,0
5846697,PRE_COND,100,0,782,671,256,63,478,52.377,87.18,22.303,0.782,0.671,0.256,0.063,0
5846947,PRE_COND,100,0,782,670,257,63,478,52.377,87.18,22.303,0.782,0.67,0.257,0.063,0
5847197,PRE_COND,100,0,782,670,258,64,478,52.377,87.18,22.303,0.782,0.67,0.258,0.064,0
5847447,PRE_COND,100,0,783,670,258,64,483,53.074,88.7,22.639,0.783,0.67,0.258,0.064,0
5847697,PRE_COND,100,0,784,671,259,64,483,53.074,88.7,22.639,0.784,0.671,0.259,0.064,0
5847947,RAMP_UP,0,0,784,670,260,64,483,53.074,88.7,22.639,0.784,0.67,0.26,0.064,0
5848197,RAMP_UP,0,0,785,670,261,64,483,53.074,88.7,22.639,0.785,0.67,0.261,0.064,0
5848447,RAMP_UP,0,0,785,670,262,64,478,52.377,87.18,22.303,0.785,0.67,0.262,0.064,0
5848697,RAMP_UP,0,0,785,670,262,64,483,53.074,88.7,22.639,0.785,0.67,0.262,0.064,0
5848947,RAMP_UP,0,0,786,670,262,64,483,53.074,88.7,22.639,0.786,0.67,0.262,0.064,0
5849197,RAMP_UP,0,0,786,671,263,64,483,53.074,88.7,22.639,0.786,0.671,0.263,0.064,0
5849447,RAMP_UP,0,0,786,670,265,65,478,52.377,87.18,22.303,0.786,0.67,0.265,0.065,0
5849697,RAMP_UP,0,0,786,670,264,65,478,52.377,87.18,22.303,0.786,0.67,0.264,0.065,0
5849947,HOLD,51,0,786,670,264,65,483,53.074,88.7,22.639,0.786,0.67,0.264,0.065,0
5850197,HOLD,51,0,786,670,265,65,483,53.074,88.7,22.639,0.786,0.67,0.265,0.065,0
5850447,HOLD,51,0,786,670,266,65,483,53.074,88.7,22.639,0.786,0.67,0.266,0.065,0
5850697,HOLD,51,0,787,670,266,65,478,52.377,87.18,22.303,0.787,0.67,0.266,0.065,0
5850947,HOLD,51,0,787,671,267,65,483,53.074,88.7,22.639,0.787,0.671,0.267,0.065,0
5851197,HOLD,51,0,787,672,267,66,478,52.377,87.18,22.303,0.787,0.672,0.267,0.066,0
5851447,HOLD,51,0,788,671,268,66,478,52.377,87.18,22.303,0.788,0.671,0.268,0.066,0
5851697,HOLD,51,0,787,670,268,66,483,53.074,88.7,22.639,0.787,0.67,0.268,0.066,0
5851947,HOLD,51,0,788,671,269,65,483,53.074,88.7,22.639,0.788,0.671,0.269,0.065,0
5852197,HOLD,51,0,788,671,269,66,478,52.377,87.18,22.303,0.788,0.671,0.269,0.066,0
5852447,HOLD,51,0,788,672,269,65,483,53.074,88.7,22.639,0.788,0.672,0.269,0.065,0
5852697,HOLD,51,0,788,671,269,66,478,52.377,87.18,22.303,0.788,0.671,0.269,0.066,0
5852947,HOLD,51,0,788,672,270,66,478,52.377,87.18,22.303,0.788,0.672,0.27,0.066,0
5853197,HOLD,51,0,788,672,270,65,478,52.377,87.18,22.303,0.788,0.672,0.27,0.065,0
5853447,HOLD,51,0,788,672,270,66,478,52.377,87.18,22.303,0.788,0.672,0.27,0.066,0
5853697,HOLD,51,0,788,671,270,66,478,52.377,87.18,22.303,0.788,0.671,0.27,0.066,0
5853947,HOLD,51,0,788,672,271,66,478,52.377,87.18,22.303,0.788,0.672,0.271,0.066,0
5854197,HOLD,51,0,789,672,271,66,478,52.377,87.18,22.303,0.789,0.672,0.271,0.066,0
5854447,HOLD,51,0,789,671,271,67,478,52.377,87.18,22.303,0.789,0.671,0.271,0.067,0
5854697,HOLD,51,0,788,672,272,67,478,52.377,87.18,22.303,0.788,0.672,0.272,0.067,0
5854947,HOLD,51,0,789,671,273,67,478,52.377,87.18,22.303,0.789,0.671,0.273,0.067,0
5855197,HOLD,51,0,789,672,272,67,478,52.377,87.18,22.303,0.789,0.672,0.272,0.067,0
5855447,HOLD,51,0,789,672,273,67,498,55.182,93.334,23.661,0.789,0.672,0.273,0.067,0
5855697,HOLD,51,0,789,672,274,68,478,52.377,87.18,22.303,0.789,0.672,0.274,0.068,0
5855947,HOLD,51,0,789,672,274,67,478,52.377,87.18,22.303,0.789,0.672,0.274,0.067,0
5856197,HOLD,51,0,789,672,275,67,483,53.074,88.7,22.639,0.789,0.672,0.275,0.067,0
5856447,HOLD,51,0,789,672,274,67,483,53.074,88.7,22.639,0.789,0.672,0.274,0.067,0
5856697,HOLD,51,0,789,671,274,68,488,53.774,90.232,22.978,0.789,0.671,0.274,0.068,0
5856947,HOLD,51,0,789,672,275,68,478,52.377,87.18,22.303,0.789,0.672,0.275,0.068,0
5857197,HOLD,51,0,790,673,276,68,483,53.074,88.7,22.639,0.79,0.673,0.276,0.068,0
5857447,HOLD,51,0,789,672,275,68,483,53.074,88.7,22.639,0.789,0.672,0.275,0.068,0
5857697,HOLD,51,0,789,672,276,68,488,53.774,90.232,22.978,0.789,0.672,0.276,0.068,0
5857947,HOLD,51,0,789,672,277,68,483,53.074,88.7,22.639,0.789,0.672,0.277,0.068,0
5858197,HOLD,51,0,790,672,276,68,483,53.074,88.7,22.639,0.79,0.672,0.276,0.068,0
5858447,HOLD,51,0,791,672,277,68,474,51.683,85.672,21.968,0.791,0.672,0.277,0.068,0
5858697,HOLD,51,0,790,672,278,68,483,53.074,88.7,22.639,0.79,0.672,0.278,0.068,0
5858947,HOLD,51,0,791,672,277,68,483,53.074,88.7,22.639,0.791,0.672,0.277,0.068,0
5859197,HOLD,51,0,790,672,277,69,483,53.074,88.7,22.639,0.79,0.672,0.277,0.069,0
5859447,HOLD,51,0,790,673,278,69,483,53.074,88.7,22.639,0.79,0.673,0.278,0.069,0
5859697,HOLD,51,0,790,672,279,69,488,53.774,90.232,22.978,0.79,0.672,0.279,0.069,0
5859947,HOLD,51,0,790,672,279,69,483,53.074,88.7,22.639,0.79,0.672,0.279,0.069,0
5860197,HOLD,51,0,790,672,279,69,488,53.774,90.232,22.978,0.79,0.672,0.279,0.069,0
5860447,HOLD,51,0,790,672,279,69,483,53.074,88.7,22.639,0.79,0.672,0.279,0.069,0
5860697,HOLD,51,0,790,672,279,70,483,53.074,88.7,22.639,0.79,0.672,0.279,0.07,0
5860947,HOLD,51,0,791,672,279,68,483,53.074,88.7,22.639,0.791,0.672,0.279,0.068,0
5861197,HOLD,51,0,790,673,280,70,483,53.074,88.7,22.639,0.79,0.673,0.28,0.07,0
5861447,HOLD,51,0,790,673,280,70,483,53.074,88.7,22.639,0.79,0.673,0.28,0.07,0
5861697,HOLD,51,0,790,672,280,70,483,53.074,88.7,22.639,0.79,0.672,0.28,0.07,0
5861947,HOLD,51,0,791,672,280,70,483,53.074,88.7,22.639,0.791,0.672,0.28,0.07,0
5862197,HOLD,51,0,791,673,280,70,483,53.074,88.7,22.639,0.791,0.673,0.28,0.07,0
5862447,HOLD,51,0,790,673,281,70,488,53.774,90.232,22.978,0.79,0.673,0.281,0.07,0
5862697,HOLD,51,0,791,673,281,70,488,53.774,90.232,22.978,0.791,0.673,0.281,0.07,0
5862947,HOLD,51,0,791,673,281,70,483,53.074,88.7,22.639,0.791,0.673,0.281,0.07,0
5863197,HOLD,51,0,791,673,281,70,483,53.074,88.7,22.639,0.791,0.673,0.281,0.07,0
5863447,HOLD,51,0,791,673,281,70,483,53.074,88.7,22.639,0.791,0.673,0.281,0.07,0
5863697,HOLD,51,0,791,673,282,70,483,53.074,88.7,22.639,0.791,0.673,0.282,0.07,0
5863947,HOLD,51,0,791,673,282,70,483,53.074,88.7,22.639,0.791,0.673,0.282,0.07,0
5864197,HOLD,51,0,791,673,282,70,488,53.774,90.232,22.978,0.791,0.673,0.282,0.07,0
5864447,HOLD,51,0,791,673,283,70,488,53.774,90.232,22.978,0.791,0.673,0.283,0.07,0
5864697,HOLD,51,0,791,673,283,70,488,53.774,90.232,22.978,0.791,0.673,0.283,0.07,0
5864947,HOLD,51,0,791,673,283,70,488,53.774,90.232,22.978,0.791,0.673,0.283,0.07,0
5865197,HOLD,51,0,791,673,282,70,488,53.774,90.232,22.978,0.791,0.673,0.282,0.07,0
5865447,HOLD,51,0,791,673,283,71,488,53.774,90.232,22.978,0.791,0.673,0.283,0.071,0
5865697,HOLD,51,0,791,673,283,71,488,53.774,90.232,22.978,0.791,0.673,0.283,0.071,0
5865947,HOLD,51,0,791,673,284,71,488,53.774,90.232,22.978,0.791,0.673,0.284,0.071,0
5866197,HOLD,51,0,791,673,284,71,488,53.774,90.232,22.978,0.791,0.673,0.284,0.071,0
5866447,HOLD,51,0,791,673,284,71,488,53.774,90.232,22.978,0.791,0.673,0.284,0.071,0
5866697,HOLD,51,0,791,673,284,71,488,53.774,90.232,22.978,0.791,0.673,0.284,0.071,0
5866947,HOLD,51,0,791,673,285,71,488,53.774,90.232,22.978,0.791,0.673,0.285,0.071,0
5867197,HOLD,51,0,791,673,285,71,488,53.774,90.232,22.978,0.791,0.673,0.285,0.071,0
5867447,HOLD,51,0,791,673,285,71,488,53.774,90.232,22.978,0.791,0.673,0.285,0.071,0
5867697,HOLD,51,0,793,674,285,72,488,53.774,90.232,22.978,0.793,0.674,0.285,0.072,0
5867947,HOLD,51,0,791,674,285,72,488,53.774,90.232,22.978,0.791,0.674,0.285,0.072,0
5868197,HOLD,51,0,792,674,286,72,488,53.774,90.232,22.978,0.792,0.674,0.286,0.072,0
5868447,HOLD,51,0,792,674,286,72,488,53.774,90.232,22.978,0.792,0.674,0.286,0.072,0
5868697,HOLD,51,0,791,673,285,72,488,53.774,90.232,22.978,0.791,0.673,0.285,0.072,0
5868947,HOLD,51,0,791,674,286,72,483,53.074,88.7,22.639,0.791,0.674,0.286,0.072,0
5869197,HOLD,51,0,792,674,286,72,488,53.774,90.232,22.978,0.792,0.674,0.286,0.072,0
5869447,HOLD,51,0,792,674,286,73,488,53.774,90.232,22.978,0.792,0.674,0.286,0.073,0
5869697,HOLD,51,0,793,674,286,72,488,53.774,90.232,22.978,0.793,0.674,0.286,0.072,0
5869947,HOLD,51,0,791,674,286,72,488,53.774,90.232,22.978,0.791,0.674,0.286,0.072,0
5870197,HOLD,51,0,792,674,286,73,488,53.774,90.232,22.978,0.792,0.674,0.286,0.073,0
5870447,HOLD,51,0,792,674,286,73,488,53.774,90.232,22.978,0.792,0.674,0.286,0.073,0
5870697,HOLD,51,0,792,674,286,73,488,53.774,90.232,22.978,0.792,0.674,0.286,0.073,0
5870947,HOLD,51,0,792,674,288,73,488,53.774,90.232,22.978,0.792,0.674,0.288,0.073,0
5871197,HOLD,51,0,793,674,288,73,488,53.774,90.232,22.978,0.793,0.674,0.288,0.073,0
5871447,HOLD,51,0,793,674,288,73,493,54.476,91.777,23.319,0.793,0.674,0.288,0.073,0
5871697,HOLD,51,0,793,674,288,74,493,54.476,91.777,23.319,0.793,0.674,0.288,0.074,0
5871947,HOLD,51,0,793,674,288,73,493,54.476,91.777,23.319,0.793,0.674,0.288,0.073,0
5872197,HOLD,51,0,793,673,288,74,488,53.774,90.232,22.978,0.793,0.673,0.288,0.074,0
5872447,HOLD,51,0,793,674,288,74,493,54.476,91.777,23.319,0.793,0.674,0.288,0.074,0
5872697,HOLD,51,0,793,674,289,74,493,54.476,91.777,23.319,0.793,0.674,0.289,0.074,0
5872947,HOLD,51,0,793,674,289,74,488,53.774,90.232,22.978,0.793,0.674,0.289,0.074,0
5873197,HOLD,51,0,793,674,290,74,493,54.476,91.777,23.319,0.793,0.674,0.29,0.074,0
5873447,HOLD,51,0,793,674,289,75,493,54.476,91.777,23.319,0.793,0.674,0.289,0.075,0
5873697,HOLD,51,0,793,674,290,75,493,54.476,91.777,23.319,0.793,0.674,0.29,0.075,0
5873947,HOLD,51,0,793,674,290,75,493,54.476,91.777,23.319,0.793,0.674,0.29,0.075,0
5874197,HOLD,51,0,793,674,290,76,488,53.774,90.232,22.978,0.793,0.674,0.29,0.076,0
5874447,HOLD,51,0,793,674,290,75,493,54.476,91.777,23.319,0.793,0.674,0.29,0.075,0
5874697,HOLD,51,0,793,675,290,75,488,53.774,90.232,22.978,0.793,0.675,0.29,0.075,0
5874947,HOLD,51,0,793,675,292,76,493,54.476,91.777,23.319,0.793,0.675,0.292,0.076,0
5875197,HOLD,51,0,793,674,290,75,493,54.476,91.777,23.319,0.793,0.674,0.29,0.075,0
5875447,HOLD,51,0,793,674,292,76,493,54.476,91.777,23.319,0.793,0.674,0.292,0.076,0
5875697,HOLD,51,0,794,674,291,76,493,54.476,91.777,23.319,0.794,0.674,0.291,0.076,0
5875947,HOLD,51,0,793,674,291,75,493,54.476,91.777,23.319,0.793,0.674,0.291,0.075,0
5876197,HOLD,51,0,793,674,291,76,493,54.476,91.777,23.319,0.793,0.674,0.291,0.076,0
5876447,HOLD,51,0,793,674,290,76,493,54.476,91.777,23.319,0.793,0.674,0.29,0.076,0
