ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
2340788,DONE,0,0,794,717,138,38,219,19.634,24.164,7.335,0.794,0.717,0.138,0.038,5
2341038,PRE_COND,100,0,793,717,138,37,219,19.634,24.164,7.335,0.793,0.717,0.138,0.037,0
2341288,PRE_COND,100,0,793,716,138,37,219,19.634,24.164,7.335,0.793,0.716,0.138,0.037,0
2341538,PRE_COND,100,0,794,717,138,37,219,19.634,24.164,7.335,0.794,0.717,0.138,0.037,0
2341788,PRE_COND,100,0,793,717,138,37,215,19.099,23.306,7.109,0.793,0.717,0.138,0.037,0
2342038,PRE_COND,100,0,793,717,138,37,219,19.634,24.164,7.335,0.793,0.717,0.138,0.037,0
2342288,PRE_COND,100,0,793,717,138,37,219,19.634,24.164,7.335,0.793,0.717,0.138,0.037,0
2342538,PRE_COND,100,0,793,717,138,38,219,19.634,24.164,7.335,0.793,0.717,0.138,0.038,0
2342788,PRE_COND,100,0,795,717,139,38,219,19.634,24.164,7.335,0.795,0.717,0.139,0.038,0
2343038,PRE_COND,100,0,795,717,139,38,219,19.634,24.164,7.335,0.795,0.717,0.139,0.038,0
2343288,PRE_COND,100,0,797,717,140,38,219,19.634,24.164,7.335,0.797,0.717,0.14,0.038,0
2343538,PRE_COND,100,0,797,716,140,38,224,20.173,25.034,7.564,0.797,0.716,0.14,0.038,0
2343788,PRE_COND,100,0,798,716,140,38,224,20.173,25.034,7.564,0.798,0.716,0.14,0.038,0
2344038,PRE_COND,100,0,800,717,141,38,219,19.634,24.164,7.335,0.8,0.717,0.141,0.038,0
2344288,PRE_COND,100,0,800,717,141,38,219,19.634,24.164,7.335,0.8,0.717,0.141,0.038,0
2344538,PRE_COND,100,0,801,717,141,38,219,19.634,24.164,7.335,0.801,0.717,0.141,0.038,0
2344788,PRE_COND,100,0,802,717,142,38,219,19.634,24.164,7.335,0.802,0.717,0.142,0.038,0
2345038,PRE_COND,100,0,803,717,142,38,219,19.634,24.164,7.335,0.803,0.717,0.142,0.038,0
2345288,PRE_COND,100,0,804,717,142,38,219,19.634,24.164,7.335,0.804,0.717,0.142,0.038,0
2345538,PRE_COND,100,0,804,718,142,38,219,19.634,24.164,7.335,0.804,0.718,0.142,0.038,0
2345788,PRE_COND,100,0,805,717,142,38,219,19.634,24.164,7.335,0.805,0.717,0.142,0.038,0
2346062,RAMP_UP,0,0,806,718,143,38,219,19.634,24.164,7.335,0.806,0.718,0.143,0.038,0
2346312,RAMP_UP,0,0,806,718,143,38,224,20.173,25.034,7.564,0.806,0.718,0.143,0.038,0
2346562,RAMP_UP,0,0,807,718,143,38,219,19.634,24.164,7.335,0.807,0.718,0.143,0.038,0
2346812,RAMP_UP,0,0,807,717,143,38,219,19.634,24.164,7.335,0.807,0.717,0.143,0.038,0
2347062,RAMP_UP,0,0,808,717,143,38,219,19.634,24.164,7.335,0.808,0.717,0.143,0.038,0
2347312,RAMP_UP,0,0,809,717,143,38,219,19.634,24.164,7.335,0.809,0.717,0.143,0.038,0
2347564,RAMP_UP,0,0,809,718,144,39,219,19.634,24.164,7.335,0.809,0.718,0.144,0.039,0
2347814,RAMP_UP,0,0,809,718,144,38,219,19.634,24.164,7.335,0.809,0.718,0.144,0.038,0
2348064,HOLD,51,0,810,718,144,38,219,19.634,24.164,7.335,0.81,0.718,0.144,0.038,0
2348314,HOLD,51,0,810,718,143,38,215,19.099,23.306,7.109,0.81,0.718,0.143,0.038,0
2348564,HOLD,51,0,810,719,144,38,219,19.634,24.164,7.335,0.81,0.719,0.144,0.038,0
2348814,HOLD,51,0,810,718,144,39,219,19.634,24.164,7.335,0.81,0.718,0.144,0.039,0
2349064,HOLD,51,0,811,718,144,38,219,19.634,24.164,7.335,0.811,0.718,0.144,0.038,0
2349314,HOLD,51,0,811,718,144,39,215,19.099,23.306,7.109,0.811,0.718,0.144,0.039,0
2349564,HOLD,51,0,811,718,144,38,215,19.099,23.306,7.109,0.811,0.718,0.144,0.038,0
2349814,HOLD,51,0,811,719,144,38,215,19.099,23.306,7.109,0.811,0.719,0.144,0.038,0
2350064,HOLD,51,0,812,718,145,38,215,19.099,23.306,7.109,0.812,0.718,0.145,0.038,0
2350314,HOLD,51,0,813,718,145,38,219,19.634,24.164,7.335,0.813,0.718,0.145,0.038,0
2350564,HOLD,51,0,813,719,144,39,215,19.099,23.306,7.109,0.813,0.719,0.144,0.039,0
2350814,HOLD,51,0,813,719,145,39,215,19.099,23.306,7.109,0.813,0.719,0.145,0.039,0
2351064,HOLD,51,0,813,719,145,38,215,19.099,23.306,7.109,0.813,0.719,0.145,0.038,0
2351314,HOLD,51,0,813,719,145,38,215,19.099,23.306,7.109,0.813,0.719,0.145,0.038,0
2351564,HOLD,51,0,814,720,145,38,215,19.099,23.306,7.109,0.814,0.72,0.145,0.038,0
2351814,HOLD,51,0,814,720,145,38,229,20.715,25.917,7.794,0.814,0.72,0.145,0.038,0
2352064,HOLD,51,0,813,720,145,39,215,19.099,23.306,7.109,0.813,0.72,0.145,0.039,0
2352314,HOLD,51,0,813,720,146,38,215,19.099,23.306,7.109,0.813,0.72,0.146,0.038,0
2352564,HOLD,51,0,814,721,146,38,215,19.099,23.306,7.109,0.814,0.721,0.146,0.038,0
2352814,HOLD,51,0,813,719,146,38,215,19.099,23.306,7.109,0.813,0.719,0.146,0.038,0
2353064,HOLD,51,0,814,721,146,39,215,19.099,23.306,7.109,0.814,0.721,0.146,0.039,0
2353314,HOLD,51,0,814,721,146,38,210,18.567,22.461,6.885,0.814,0.721,0.146,0.038,0
2353564,HOLD,51,0,814,720,146,39,215,19.099,23.306,7.109,0.814,0.72,0.146,0.039,0
2353814,HOLD,51,0,814,721,146,38,215,19.099,23.306,7.109,0.814,0.721,0.146,0.038,0
2354064,HOLD,51,0,815,721,146,38,215,19.099,23.306,7.109,0.815,0.721,0.146,0.038,0
2354316,HOLD,51,0,813,720,146,39,215,19.099,23.306,7.109,0.813,0.72,0.146,0.039,0
2354566,HOLD,51,0,814,720,146,38,215,19.099,23.306,7.109,0.814,0.72,0.146,0.038,0
2354816,HOLD,51,0,814,721,146,39,215,19.099,23.306,7.109,0.814,0.721,0.146,0.039,0
2355066,HOLD,51,0,814,721,146,39,215,19.099,23.306,7.109,0.814,0.721,0.146,0.039,0
2355316,HOLD,51,0,815,721,146,38,215,19.099,23.306,7.109,0.815,0.721,0.146,0.038,0
2355566,HOLD,51,0,815,721,146,38,215,19.099,23.306,7.109,0.815,0.721,0.146,0.038,0
2355816,HOLD,51,0,814,721,146,39,215,19.099,23.306,7.109,0.814,0.721,0.146,0.039,0
2356066,HOLD,51,0,815,721,146,39,219,19.634,24.164,7.335,0.815,0.721,0.146,0.039,0
2356316,HOLD,51,0,814,721,146,39,219,19.634,24.164,7.335,0.814,0.721,0.146,0.039,0
2356566,HOLD,51,0,816,722,147,38,215,19.099,23.306,7.109,0.816,0.722,0.147,0.038,0
2356816,HOLD,51,0,817,722,146,38,219,19.634,24.164,7.335,0.817,0.722,0.146,0.038,0
2357066,HOLD,51,0,816,722,146,38,215,19.099,23.306,7.109,0.816,0.722,0.146,0.038,0
2357316,HOLD,51,0,816,722,146,39,215,19.099,23.306,7.109,0.816,0.722,0.146,0.039,0
2357566,HOLD,51,0,816,722,146,38,215,19.099,23.306,7.109,0.816,0.722,0.146,0.038,0
2357816,HOLD,51,0,817,722,146,39,219,19.634,24.164,7.335,0.817,0.722,0.146,0.039,0
2358066,HOLD,51,0,816,722,146,38,215,19.099,23.306,7.109,0.816,0.722,0.146,0.038,0
2358316,HOLD,51,0,817,722,147,38,215,19.099,23.306,7.109,0.817,0.722,0.147,0.038,0
2358609,HOLD,51,0,815,721,146,38,215,19.099,23.306,7.109,0.815,0.721,0.146,0.038,0
2358859,HOLD,51,0,816,722,147,38,215,19.099,23.306,7.109,0.816,0.722,0.147,0.038,0
2359109,HOLD,51,0,815,722,146,39,215,19.099,23.306,7.109,0.815,0.722,0.146,0.039,0
2359359,HOLD,51,0,815,721,147,38,215,19.099,23.306,7.109,0.815,0.721,0.147,0.038,0
2359609,HOLD,51,0,817,722,147,38,215,19.099,23.306,7.109,0.817,0.722,0.147,0.038,0
2359859,HOLD,51,0,817,722,146,39,215,19.099,23.306,7.109,0.817,0.722,0.146,0.039,0
2360260,HOLD,51,0,816,722,146,38,219,19.634,24.164,7.335,0.816,0.722,0.146,0.038,0
2360510,HOLD,51,0,816,722,146,38,215,19.099,23.306,7.109,0.816,0.722,0.146,0.038,0
2360973,HOLD,51,0,816,722,147,38,219,19.634,24.164,7.335,0.816,0.722,0.147,0.038,0
2361223,HOLD,51,0,816,721,146,39,215,19.099,23.306,7.109,0.816,0.721,0.146,0.039,0
2361473,HOLD,51,0,817,722,146,38,210,18.567,22.461,6.885,0.817,0.722,0.146,0.038,0
2361723,HOLD,51,0,816,722,147,39,215,19.099,23.306,7.109,0.816,0.722,0.147,0.039,0
2361973,HOLD,51,0,817,722,147,38,215,19.099,23.306,7.109,0.817,0.722,0.147,0.038,0
2362223,HOLD,51,0,817,722,147,38,215,19.099,23.306,7.109,0.817,0.722,0.147,0.038,0
2362473,HOLD,51,0,817,722,147,38,215,19.099,23.306,7.109,0.817,0.722,0.147,0.038,0
2362723,HOLD,51,0,816,722,147,38,219,19.634,24.164,7.335,0.816,0.722,0.147,0.038,0
2362973,HOLD,51,0,815,722,146,38,215,19.099,23.306,7.109,0.815,0.722,0.146,0.038,0
2363223,HOLD,51,0,816,722,146,38,215,19.099,23.306,7.109,0.816,0.722,0.146,0.038,0
