ts,state,motor_A_duty,motor_B_duty,gmxxx_ch1,gmxxx_ch2,gmxxx_ch3,gmxxx_ch4,mics5524_raw,co_mics,eth_mics,voc_mics,no2_gm,c2h5oh_gm,voc_gm,co_gm,currentLevel
7759335,IDLE,0,0,717,641,71,49,244,22.36,28.641,8.499,0.717,0.641,0.071,0.049,5
7759585,PRE_COND,100,0,717,641,72,50,244,22.36,28.641,8.499,0.717,0.641,0.072,0.05,0
7759835,PRE_COND,100,0,718,641,72,50,244,22.36,28.641,8.499,0.718,0.641,0.072,0.05,0
7760085,PRE_COND,100,0,719,642,72,50,244,22.36,28.641,8.499,0.719,0.642,0.072,0.05,0
7760335,PRE_COND,100,0,719,641,71,49,244,22.36,28.641,8.499,0.719,0.641,0.071,0.049,0
7760585,PRE_COND,100,0,719,642,72,50,244,22.36,28.641,8.499,0.719,0.642,0.072,0.05,0
7760835,PRE_COND,100,0,720,641,72,49,244,22.36,28.641,8.499,0.72,0.641,0.072,0.049,0
7761085,PRE_COND,100,0,722,641,73,50,244,22.36,28.641,8.499,0.722,0.641,0.073,0.05,0
7761335,PRE_COND,100,0,723,641,72,50,249,22.914,29.574,8.739,0.723,0.641,0.072,0.05,0
7761585,PRE_COND,100,0,725,641,73,50,249,22.914,29.574,8.739,0.725,0.641,0.073,0.05,0
7761835,PRE_COND,100,0,725,641,73,51,249,22.914,29.574,8.739,0.725,0.641,0.073,0.051,0
7762085,PRE_COND,100,0,727,642,73,51,254,23.472,30.519,8.98,0.727,0.642,0.073,0.051,0
7762335,PRE_COND,100,0,729,641,74,51,254,23.472,30.519,8.98,0.729,0.641,0.074,0.051,0
7762585,PRE_COND,100,0,731,642,74,51,254,23.472,30.519,8.98,0.731,0.642,0.074,0.051,0
7762835,PRE_COND,100,0,732,642,74,51,254,23.472,30.519,8.98,0.732,0.642,0.074,0.051,0
7763085,PRE_COND,100,0,734,642,75,51,254,23.472,30.519,8.98,0.734,0.642,0.075,0.051,0
7763335,PRE_COND,100,0,735,642,75,52,254,23.472,30.519,8.98,0.735,0.642,0.075,0.052,0
7763585,PRE_COND,100,0,737,642,75,52,259,24.033,31.476,9.224,0.737,0.642,0.075,0.052,0
7763835,PRE_COND,100,0,738,642,76,52,259,24.033,31.476,9.224,0.738,0.642,0.076,0.052,0
7764085,PRE_COND,100,0,740,642,76,52,259,24.033,31.476,9.224,0.74,0.642,0.076,0.052,0
7764335,PRE_COND,100,0,741,642,76,52,259,24.033,31.476,9.224,0.741,0.642,0.076,0.052,0
7764585,RAMP_UP,0,0,743,642,76,52,259,24.033,31.476,9.224,0.743,0.642,0.076,0.052,0
7764835,RAMP_UP,0,0,744,642,77,53,259,24.033,31.476,9.224,0.744,0.642,0.077,0.053,0
7765085,RAMP_UP,0,0,746,642,77,53,259,24.033,31.476,9.224,0.746,0.642,0.077,0.053,0
7765335,RAMP_UP,0,0,746,643,78,53,259,24.033,31.476,9.224,0.746,0.643,0.078,0.053,0
7765585,RAMP_UP,0,0,747,643,77,53,263,24.597,32.446,9.47,0.747,0.643,0.077,0.053,0
7765835,RAMP_UP,0,0,749,642,78,53,259,24.033,31.476,9.224,0.749,0.642,0.078,0.053,0
7766085,RAMP_UP,0,0,750,643,78,53,259,24.033,31.476,9.224,0.75,0.643,0.078,0.053,0
7766335,RAMP_UP,0,0,750,643,78,53,259,24.033,31.476,9.224,0.75,0.643,0.078,0.053,0
7766585,HOLD,51,0,751,643,79,53,259,24.033,31.476,9.224,0.751,0.643,0.079,0.053,0
7766835,HOLD,51,0,752,644,79,53,259,24.033,31.476,9.224,0.752,0.644,0.079,0.053,0
7767085,HOLD,51,0,753,644,79,53,259,24.033,31.476,9.224,0.753,0.644,0.079,0.053,0
7767335,HOLD,51,0,754,644,79,53,259,24.033,31.476,9.224,0.754,0.644,0.079,0.053,0
7767585,HOLD,51,0,754,645,80,53,259,24.033,31.476,9.224,0.754,0.645,0.08,0.053,0
7767835,HOLD,51,0,754,645,80,53,259,24.033,31.476,9.224,0.754,0.645,0.08,0.053,0
7768085,HOLD,51,0,755,644,80,53,254,23.472,30.519,8.98,0.755,0.644,0.08,0.053,0
7768335,HOLD,51,0,756,645,80,53,259,24.033,31.476,9.224,0.756,0.645,0.08,0.053,0
7768585,HOLD,51,0,757,645,80,53,259,24.033,31.476,9.224,0.757,0.645,0.08,0.053,0
